0,0,103
1,0,103
2,1,78
3,1,78
4,1,28
5,1,28
6,1,28
7,1,28
8,1,28
9,1,28
10,1,28
11,1,28
12,1,28
13,1,28
14,1,28
15,1,28
16,1,28
17,1,28
18,1,28
19,1,28
20,1,28
21,1,28
22,1,28
23,1,28
24,1,28
25,1,28
26,1,28
27,1,28
28,1,28
29,1,28
30,1,28
31,1,28
32,1,28
33,1,28
34,1,28
35,1,28
36,1,28
37,1,28
38,1,28
39,1,28
40,1,28
41,1,28
42,1,28
43,1,28
44,1,28
45,1,28
46,1,28
47,1,28
48,1,28
49,1,28
50,1,28
51,1,28
52,1,28
53,1,28
54,1,28
55,1,28
56,1,28
57,1,28
58,1,28
59,1,28
60,1,28
61,1,28
62,1,28
63,1,28
64,1,28
65,1,28
66,1,28
67,1,28
68,1,28
69,1,28
70,1,28
71,1,28
72,1,28
73,1,28
74,1,28
75,1,28
76,1,28
77,1,28
78,1,28
79,1,28
80,1,28
81,1,28
82,1,28
83,1,28
84,1,28
85,1,28
86,1,28
87,1,28
88,1,28
89,1,28
90,1,28
91,1,28
92,1,28
93,1,28
94,1,28
95,1,28
96,1,28
97,1,28
98,1,28
99,1,28
100,1,28
101,1,28
102,1,28
103,1,28
104,1,28
105,1,28
106,1,28
107,1,28
108,1,28
109,1,28
110,1,28
111,1,28
112,1,28
113,1,28
114,1,28
115,1,28
116,1,28
117,1,28
118,1,28
119,1,28
120,1,28
121,1,28
122,1,28
123,1,28
124,1,28
125,1,28
126,1,28
127,1,28
128,1,28
129,1,28
130,1,28
131,1,28
132,1,28
133,1,28
134,1,28
135,1,28
136,1,28
137,1,28
138,1,28
139,1,28
140,1,28
141,1,28
142,1,28
143,1,28
144,1,28
145,1,28
146,1,28
147,1,28
148,1,28
149,1,28
150,1,28
151,1,28
152,1,28
153,1,28
154,1,28
155,1,28
156,1,28
157,1,28
158,1,28
159,1,28
160,1,28
161,1,28
162,1,28
163,1,28
164,1,28
165,1,28
166,1,28
167,1,28
168,1,28
169,1,28
170,1,28
171,1,28
172,1,28
173,1,28
174,1,28
175,1,28
176,1,28
177,1,28
178,1,28
179,1,28
180,1,28
181,1,28
182,1,28
183,1,28
184,1,28
185,1,28
186,1,28
187,1,28
188,1,28
189,1,28
190,1,28
191,1,28
192,1,28
193,1,28
194,1,28
195,1,28
196,1,28
197,1,28
198,1,28
199,1,28
200,1,28
201,1,28
202,1,28
203,1,28
204,1,28
205,1,28
206,1,28
207,1,28
208,1,28
209,1,28
210,1,28
211,1,28
212,1,28
213,1,28
214,1,28
215,1,28
216,1,28
217,1,28
218,1,28
219,1,28
220,1,28
221,1,28
222,1,28
223,1,28
224,1,28
225,1,28
226,1,28
227,1,28
228,1,28
229,1,28
230,1,28
231,1,28
232,1,28
233,1,28
234,1,28
235,1,28
236,1,28
237,1,28
238,1,28
239,1,28
240,1,28
241,1,28
242,1,28
243,1,28
244,1,28
245,1,28
246,1,28
247,1,28
248,1,28
249,1,28
250,1,28
251,1,28
252,1,28
253,1,28
254,1,28
255,1,28
256,1,28
257,1,28
258,1,28
259,1,28
260,1,28
261,1,28
262,1,28
263,1,28
264,1,28
265,1,28
266,1,28
267,1,28
268,1,28
269,1,28
270,1,28
271,1,28
272,1,28
273,1,28
274,1,28
275,1,28
276,1,28
277,1,28
278,1,28
279,1,28
280,1,28
281,1,28
282,1,28
283,1,28
284,1,28
285,1,28
286,1,28
287,1,28
288,1,28
289,1,28
290,1,28
291,1,28
292,1,28
293,1,28
294,1,28
295,1,28
296,1,28
297,1,28
298,1,28
299,1,28
300,1,28
301,1,28
302,1,28
303,1,28
304,1,28
305,1,28
306,1,28
307,1,28
308,1,28
309,1,28
310,1,28
311,1,28
312,1,28
313,1,28
314,1,28
315,1,28
316,1,28
317,1,28
318,1,28
319,1,28
320,1,28
321,1,28
322,1,28
323,1,28
324,1,28
325,1,28
326,1,28
327,1,28
328,1,28
329,1,28
330,1,28
331,1,28
332,1,28
333,1,28
334,1,28
335,1,28
336,1,28
337,1,28
338,1,28
339,1,28
340,1,28
341,1,28
342,1,28
343,1,28
344,1,28
345,1,28
346,1,28
347,1,28
348,1,28
349,1,28
350,1,28
351,1,28
352,1,28
353,1,28
354,1,28
355,1,28
356,1,28
357,1,28
358,1,28
359,1,28
360,1,28
361,1,28
362,1,28
363,1,28
364,1,28
365,1,28
366,1,28
367,1,28
368,1,28
369,1,28
370,1,28
371,1,28
372,1,28
373,1,28
374,1,28
375,1,28
376,1,28
377,1,28
378,1,28
379,1,28
380,1,28
381,1,28
382,1,28
383,1,28
384,1,28
385,1,28
386,1,28
387,1,28
388,1,28
389,1,28
390,1,28
391,1,28
392,1,28
393,1,28
394,1,28
395,1,28
396,1,28
397,1,28
398,1,28
399,1,28
400,1,28
401,1,28
402,1,28
403,1,28
404,1,28
405,1,28
406,1,28
407,1,28
408,1,28
409,1,28
410,1,28
411,1,28
412,1,28
413,1,28
414,1,28
415,1,28
416,1,28
417,1,28
418,1,28
419,1,28
420,1,28
421,1,28
422,1,28
423,1,28
424,1,28
425,1,28
426,1,28
427,1,28
428,1,28
429,1,28
430,1,28
431,1,28
432,1,28
433,1,28
434,1,28
435,1,28
436,1,28
437,1,28
438,1,28
439,1,28
440,1,28
441,1,28
442,1,28
443,1,28
444,1,28
445,1,28
446,1,28
447,1,28
448,1,28
449,1,28
450,1,28
451,1,28
452,1,28
453,1,28
454,1,28
455,1,28
456,1,28
457,1,28
458,1,28
459,1,28
460,1,28
461,1,28
462,1,28
463,1,28
464,1,28
465,1,28
466,1,28
467,1,28
468,1,28
469,1,28
470,1,28
471,1,28
472,1,28
473,1,28
474,1,28
475,1,28
476,1,28
477,1,28
478,1,28
479,1,28
480,1,28
481,1,28
482,1,28
483,1,28
484,1,28
485,1,28
486,1,28
487,1,28
488,1,28
489,1,28
490,1,28
491,1,28
492,1,28
493,1,28
494,1,28
495,1,28
496,1,28
497,1,28
498,1,28
499,1,28
500,1,28
501,1,28
502,1,28
503,1,28
504,1,28
505,1,28
506,1,28
507,1,28
508,1,28
509,1,28
510,1,28
511,1,28
512,1,28
513,1,28
514,1,28
515,1,28
516,1,28
517,1,28
518,1,28
519,1,28
520,1,28
521,1,28
522,1,28
523,1,28
524,1,28
525,1,28
526,1,28
527,1,28
528,1,28
529,1,28
530,1,28
531,1,28
532,1,28
533,1,28
534,1,28
535,1,28
536,1,28
537,1,28
538,1,28
539,1,28
540,1,28
541,1,28
542,1,28
543,1,28
544,1,28
545,1,28
546,1,28
547,1,28
548,1,28
549,1,28
550,1,28
551,1,28
552,1,28
553,1,28
554,1,28
555,1,28
556,1,28
557,1,28
558,1,28
559,1,28
560,1,28
561,1,28
562,1,28
563,1,28
564,1,28
565,1,28
566,1,28
567,1,28
568,1,28
569,1,28
570,1,28
571,1,28
572,1,28
573,1,28
574,1,28
575,1,28
576,1,28
577,1,28
578,1,28
579,1,28
580,1,28
581,1,28
582,1,28
583,1,28
584,1,28
585,1,28
586,1,28
587,1,28
588,1,28
589,1,28
590,1,28
591,1,28
592,1,28
593,1,28
594,1,28
595,1,28
596,1,28
597,1,28
598,1,28
599,1,28
600,1,28
601,1,28
602,1,28
603,1,28
604,1,28
605,1,28
606,1,28
607,1,28
608,1,28
609,1,28
610,1,28
611,1,28
612,1,28
613,1,28
614,1,28
615,1,28
616,1,28
617,1,28
618,1,28
619,1,28
620,1,28
621,1,28
622,1,28
623,1,28
624,1,28
625,1,28
626,1,28
627,1,28
628,1,28
629,1,28
630,1,28
631,1,28
632,1,28
633,1,28
634,1,28
635,1,28
636,1,28
